acc,labels,num_context,model
76.92308,helpfulness,0,hh-nppl-mixed-new_1
30.769232,helpfulness,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
69.230774,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
69.230774,helpfulness,0,hh-nppl-mixed-new_1
69.230774,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
30.769232,helpfulness,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
69.230774,helpfulness,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
23.076923,honesty,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
69.230774,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
76.92308,helpfulness,0,hh-nppl-mixed-new_1
30.769232,helpfulness,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
23.076923,honesty,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
30.769232,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
23.076923,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
7.692308,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
30.769232,honesty,0,hh-nppl-mixed-new_1
76.92308,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
76.92308,helpfulness,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
69.230774,honesty,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
76.92308,honesty,0,hh-nppl-mixed-new_1
30.769232,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
69.230774,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
76.92308,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
69.230774,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
76.92308,helpfulness,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
46.153847,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
30.769232,honesty,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
15.384616,honesty,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
23.076923,honesty,0,hh-nppl-mixed-new_1
30.769232,helpfulness,0,hh-nppl-mixed-new_1
38.46154,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
76.92308,honesty,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
53.846157,honesty,0,hh-nppl-mixed-new_1
84.61539,helpfulness,0,hh-nppl-mixed-new_1
30.769232,helpfulness,0,hh-nppl-mixed-new_1
23.076923,helpfulness,0,hh-nppl-mixed-new_1
30.769232,honesty,0,hh-nppl-mixed-new_1
38.46154,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
61.538464,honesty,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
46.153847,honesty,0,hh-nppl-mixed-new_1
53.846157,helpfulness,0,hh-nppl-mixed-new_1
61.538464,helpfulness,0,hh-nppl-mixed-new_1
